术语,定义,例句
发起费用,可直接归属于发起某项金融工具（如贷款）的费用。,贷款发起费用采用实际利率法在贷款存续期内摊销。
金融资产的发起方,通过转让商品或服务而形成金融资产的主体。,该银行是金融资产的发起方。
其他权益组成部分,股本和留存收益以外的权益项目。,其他权益组成部分包括重估价盈余。
其他综合收益,未确认为当期损益的收入和费用。,精算利得列示于其他综合收益。
其他长期职工福利,养老金以外的长期福利。,其他长期职工福利需要进行精算计量。
其他价格风险,金融工具的公允价值或未来现金流量因利率风险或货币风险以外的市场价格变动而发生波动的风险。,其他价格风险源于所持有权益工具的市场价格变动。
价外（虚值）,行权价格不利的期权。,当行权价高于股价时，该期权处于价外状态。
外联咨询活动,就某一项目向利益相关方提供信息并进行咨询的活动。,理事会在修订该准则之前启动了一项外联咨询活动。
直接出售,完全且永久地转移所有权的无条件出售。,该资产通过直接出售予以转让。
外包安排,主体与第三方签订合同、由其代表主体开展活动的协议。,根据外包安排，服务提供方负责处理工资发放职能。
外包服务提供方,承接原先由内部处理的服务的外部一方。,该外包服务提供方负责处理我们的工资核算事务。
场外交易市场,证券在交易所以外由交易双方直接进行交易的市场。,该股份在场外交易市场进行交易。
间接费用,企业经营所产生的间接成本。,生产间接费用被分配计入存货。
自身信用风险,主体自身违约的风险。,自身信用风险影响负债的公允价值。
所有者,在主体中拥有所有者权益的一方，例如股东。,所有者以其所有者身份进行的交易直接计入权益。
所有者引起的权益变动,与所有者进行交易所导致的权益变动。,所有者引起的权益变动包括股利和股份发行。
自用房地产,所有者为经营目的而非为出租目的持有的不动产。,自用房地产按照国际会计准则第16号进行会计处理。
所有者（权益工具持有人）,持有主体中被归类为权益的工具的各方。,向所有者进行的分配直接计入权益。
所有者权益份额,投资者持有的主体权益的比例。,该主体取得了合营企业25%的所有者权益份额。
所有者权益,资产扣除全部负债后的剩余权益。,盈利年度过后，所有者权益有所增加。
实收资本,股东为换取股份而缴入的资本。,该公司报告的实收资本为一百万。
母公司,控制一个或多个其他主体的主体。,母公司编制合并财务报表。
母子公司关系,主体之间的控制关系。,母子公司关系要求进行合并。
部分处置,出售主体在子公司或投资中的部分权益，但不因此丧失控制权或重大影响。,部分处置该子公司的股份并未导致控制权的丧失。
非全资子公司,未被母公司全资拥有的子公司。,非全资子公司会产生非控制性权益。
（养老金计划的）参与者,有权在养老金计划下获得福利的成员。,养老金计划的所有参与者每年都会收到年度报表。
参与性权益工具,有权分享利润的权益工具。,参与性权益工具可分得可分配利润的一部分。
过手安排,主体代表第三方收取款项并将其转付，而不将其确认为自身收入的合同。,该公用事业单位在过手安排下作为代理人行事，仅将净手续费确认为收入。
过去的企业合并,发生在以前报告期间的企业合并。,该商誉源于过去的企业合并。
逾期,未在合同约定的到期日付款。,该应收款项已逾期三十天。
过去事项,已经发生并形成义务的事项。,一项过去事项形成了现时义务。
过去服务成本,因过去服务导致的福利义务的变动。,过去服务成本在计划修订时予以确认。
应付款项,主体因取得的商品或服务而欠供应商或其他方的款项。,若在十二个月内支付，贸易应付款项应列示为流动负债。
养老金,支付给个人的退休收入。,养老金在退休后按月支付。
养老金负债,向雇员支付未来退休福利的现时义务。,该公司在其财务状况表中确认了一项养老金负债。
养老金计划,向雇员提供离职后福利的安排。,该公司设有一项设定受益养老金计划。
完工百分比法,按照合同完工进度确认收入的收入确认方法。,该长期建造合同的收入采用完工百分比法予以确认。
业绩,主体实现其财务目标的程度。,该公司的业绩在第二季度有所改善。
业绩（即财务业绩）,主体实现其财务成果的程度。,财务业绩以利润和回报来衡量。
业绩条件,要求达到规定业绩、奖励方可归属的条件。,股份奖励须在满足业绩条件后方可归属。
服务期间,员工提供服务的期间。,福利在服务期间内累积。
确定期限年金,无论受益人是否在世，均保证在固定期数内支付款项的年金。,为在固定的十年期间内提供收入，购买了一份确定期限年金。
特定期间影响,仅限于某一特定期间的影响。,特定期间影响不外推至其他期间。
永续债务工具,没有固定到期日的债务工具。,永续债务工具无限期地支付利息，但永不偿还本金。
续保奖金,因保单续保或持续参与而支付的奖金。,投保人因续签合同而获得了续保奖金。
员工,主体的员工，其成本和福利在财务报表中确认。,随着公司扩大员工队伍，员工成本有所增加。
虚拟股份,以股价为参照进行估值、以现金结算的奖励。,虚拟股份向员工提供与股价挂钩的现金奖金。
实物资本,视为主体的实物生产能力的资本。,实物资本以生产能力单位计量。
计划资产（员工福利计划的）,为履行员工福利义务而由基金持有的资产。,计划资产于报告日按公允价值计量。
计划承诺日,计划作出承诺的日期。,计划承诺日决定了会计处理。
出售子公司控制性权益的计划,处置子公司控制性权益的正式计划，该计划可能触发归类为持有待售。,出售子公司控制性权益的计划要求将相关资产列报为持有待售。
