Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
M-N,Minimum funding requirement,Asgari fonlama koşulu,A legal minimum contribution required for a benefit plan.,The minimum funding requirement increased the plan liability.,"Asgari fonlama koşulu, plan yükümlülüğünü artırdı."
M-N,Minimum lease payments,Asgari finansal kiralama ödemeleri,Payments required over the lease term.,Minimum lease payments are discounted in lease accounting.,"Asgari kiralama ödemeleri, kiralama muhasebesinde iskonto edilir."
M-N,Minority interest,Azınlık payı,"The portion of equity in a subsidiary not attributable, directly or indirectly, to the parent entity.",Minority interest is presented within equity in the consolidated statement of financial position.,"Azınlık payı, konsolide finansal durum tablosunda özkaynak içinde sunulur."
M-N,Mismatch,Yanlış eşleştirme/uyumsuzluk,A mismatch between assets and liabilities.,The mismatch between maturities creates risk.,"Vadeler arasındaki uyumsuzluk, risk yaratır."
M-N,Misstatement,Yanlış ifade,Difference between reported and required amounts.,The auditor identified a misstatement in revenue.,"Denetçi, hasılatta bir yanlış ifade tespit etti."
M-N,Mitigating device,Risk azaltım araçları,An instrument or action that reduces risk exposure.,The derivative served as a mitigating device for currency risk.,"Türev ürün, kur riski için bir risk azaltım aracı işlevi gördü."
M-N,Mixed attribute approach,Karma şekil yaklaşımı,An accounting approach under which different measurement bases are applied to different items.,"The standard uses a mixed attribute approach, measuring some assets at cost and others at fair value.","Standart, bazı varlıkları maliyetinden bazılarını ise gerçeğe uygun değerinden ölçen karma şekil yaklaşımını kullanır."
M-N,Monetary asset,Parasal varlık,An asset representing money or a claim to fixed amounts of money.,Cash and trade receivables are monetary assets.,Nakit ve ticari alacaklar parasal varlıklardır.
M-N,Monetary items,Parasal kalemler,Units of currency held and assets and liabilities to be received or paid in fixed amounts.,Monetary items are translated at the closing exchange rate.,Parasal kalemler kapanış kuruyla çevrilir.
M-N,Monetary items (monetary assets; monetary financial assets and financial liabilities; monetary financial instruments),Parasal kalemler (parasal varlıklar; parasal finansal varlıklar ve finansal borçlar; parasal finansal araçlar),Assets and liabilities to be received or paid in fixed money units.,Monetary items are retranslated at the closing rate.,"Parasal kalemler, kapanış kuru üzerinden yeniden çevrilir."
M-N,Monitor compliance,Uyum izlemesi,Watching adherence to rules or covenants.,The entity monitors compliance with loan covenants.,"İşletme, kredi sözleşmesi koşullarına uyumu izler."
M-N,Mortality risk,Ölüm riski,"The risk that actual mortality rates differ from those expected, affecting the measurement of insurance or benefit obligations.",The insurer's mortality risk was assessed using recent actuarial tables.,"Sigortacının ölüm riski, güncel aktüeryal tablolar kullanılarak değerlendirildi."
M-N,Multi-employer (benefit) plans,Çok sayıda işverenin dahil olduğu fayda planları,Benefit plans shared by several employers.,Multi-employer plans pool the assets of several employers.,"Çok işverenli planlar, birçok işverenin varlıklarını birleştirir."
M-N,Multi-employer plans (for an employee benefit plan),Çok sayıda işverenin dahil olduğu sosyal yardım planları (çalışanlara sağlanan fayda planları için),Plan pooling contributions from several unrelated employers.,Multi-employer plans spread risk across participating employers.,"Çok sayıda işverenin dahil olduğu planlar, riski katılımcı işverenlere dağıtır."
M-N,Multiple arrangements,Çoklu düzenleme,Several separate contracts entered into at or near the same time.,The multiple arrangements were assessed as a single transaction.,Çoklu düzenlemeler tek bir işlem olarak değerlendirildi.
M-N,Multiple embedded derivatives,Çoklu saklı türev ürünler,Two or more embedded derivatives contained in a single host contract.,"When a contract contains multiple embedded derivatives, they may be treated as a single compound derivative.","Bir sözleşme çoklu saklı türev ürünler içerdiğinde, bunlar tek bir bileşik türev olarak ele alınabilir."
M-N,Mutual cooperative entity,İki taraflı kooperatif işletmesi,An entity owned and controlled by its members for mutual benefit.,The mutual cooperative entity distributes surpluses among its members.,"İki taraflı kooperatif işletmesi, artı değeri üyeleri arasında dağıtır."
M-N,Mutual entity,Yatırım ortaklığı,An entity whose owners receive dividends or returns rather than equity shares.,A mutual entity provides its members with membership rights.,"Yatırım ortaklığı, üyelerine üyelik hakları sağlar."
M-N,Mutual fund,Yatırım fonu,A pooled investment vehicle owned by its investors.,Units in the mutual fund are measured at fair value.,"Yatırım fonu birimleri, gerçeğe uygun değeriyle ölçülür."
M-N,Mutual insurance company,Ortak faydalı sigorta işletmesi,An insurer owned by its policyholders.,A mutual insurance company is owned by its policyholders.,"Ortak faydalı sigorta işletmesi, poliçe sahiplerine aittir."
M-N,National requirements,Ulusal düzenlemeler,Local legal or regulatory requirements that an entity must comply with in addition to international standards.,"Where national requirements differ from IFRSs, the entity discloses the nature of the differences.","Ulusal düzenlemelerin IFRS’lerden farklı olması durumunda işletme, farklılıkların niteliğini açıklar."
M-N,Nature of expense method,Giderlerin türlerine göre sınıflandırılması yöntemi,Presenting expenses by their nature.,The nature of expense method groups expenses by type.,"Türlerine göre yöntem, giderleri türe göre gruplar."
M-N,Negative goodwill,Negatif şerefiye,Gain when acquisition cost is below fair value acquired.,The bargain purchase produced negative goodwill.,"Uygun fiyatlı satın alma, negatif şerefiye doğurdu."
M-N,Negotiable paper,Ciro edilebilir kıymetli evrak,A transferable financial instrument that can be endorsed to another party.,The negotiable paper was endorsed to the bank.,Ciro edilebilir kıymetli evrak bankaya ciro edildi.
M-N,Net assets,Net varlıklar,"The amount by which total assets exceed total liabilities, equivalent to equity.",Net assets increased following the profitable year.,Kârlı geçen yılın ardından net varlıklar artmıştır.
M-N,Net assets available for benefits,Sağlanacak faydalarda kullanılabilecek net varlıklar,Plan assets less liabilities available to pay employee benefits.,Net assets available for benefits grew over the reporting period.,"Sağlanacak faydalarda kullanılabilecek net varlıklar, raporlama dönemi boyunca arttı."
M-N,Net basis,Net esasına göre,Presentation of assets and liabilities at their net amount.,The liability was settled on a net basis.,"Borç, net esasına göre ödendi."
M-N,Net cash-settled option,Net nakit tutar üzerinden ödenen opsiyon,An option settled in cash equal to the net gain.,The net cash-settled option is classified as a liability.,"Net nakit üzerinden ödenen opsiyon, borç olarak sınıflandırılır."
M-N,Net disposal proceeds,Varlıkların elden çıkarılmasından kaynaklanan net tahsilatlar,Proceeds from disposal less disposal costs.,Net disposal proceeds reduce the gain or loss on disposal.,"Net tahsilatlar, elden çıkarma kâr veya zararını azaltır."
M-N,Net exchange differences,Net kur (kambiyo) farkları,The net amount of gains and losses arising from translating foreign currency amounts at different exchange rates.,Net exchange differences are recognised in other comprehensive income and accumulated in a separate component of equity.,"Net kur farkları, diğer kapsamlı gelirde muhasebeleştirilir ve özkaynağın ayrı bir bileşeninde biriktirilir."
M-N,Net identifiable assets,Net tanımlanabilir varlıklar,Identifiable assets less liabilities acquired.,Goodwill is the excess of consideration over net identifiable assets.,"Şerefiye, bedelin net tanımlanabilir varlıkları aşan kısmıdır."
M-N,Net income,Net gelir,Profit remaining after all expenses and taxes.,Net income increased by twelve percent this year.,Net gelir bu yıl yüzde on iki arttı.
M-N,Net investment hedge,Net yatırım riskinden korunma,A hedge of currency exposure in a net investment abroad.,The group used a net investment hedge for its overseas subsidiary.,"Grup, yurt dışı bağlı ortaklığı için net yatırım riskinden korunma kullandı."
M-N,Net investment in a foreign entity,Yurtdışı bir kuruluştaki net yatırım,The amount of the reporting entity's interest in the net assets of a foreign operation.,The intercompany loan formed part of the net investment in a foreign entity.,"Grup içi kredi, yurtdışı bir kuruluştaki net yatırımın bir parçasını oluşturuyordu."
M-N,Net investment in a foreign operation,Yurtdışındaki işletmede bulunan net yatırım,The reporting entity's net share of a foreign operation's net assets.,Exchange differences on a net investment in a foreign operation go to equity.,Yurtdışındaki işletmede bulunan net yatırıma ilişkin kur farkları özkaynağa aktarılır.
M-N,Net investment in a lease,Finansal kiralamadaki net yatırım (anapara),The gross investment in a lease discounted at the implicit interest rate.,The net investment in a lease equals gross investment less unearned finance income.,"Finansal kiralamadaki net yatırım, brüt yatırımdan kazanılmamış finansman gelirinin düşülmesine eşittir."
M-N,Net loss,Net zarar,Total expenses exceeding total income for a period.,The entity reported a net loss for the year.,"İşletme, yıl için net zarar açıkladı."
