Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
I,Insurance liability,Versicherungsverbindlichkeit,Die vertragliche Nettoverbindlichkeit eines Versicherers aus Versicherungsverträgen.,Der Versicherer erfasste eine Versicherungsverbindlichkeit für ausstehende Schäden.
I,Insurance obligations,Versicherungsverbindlichkeiten,"Verbindlichkeiten, die aus Versicherungsverträgen entstehen.",Versicherungsverbindlichkeiten werden auf der Grundlage aktueller Schätzungen bewertet.
I,Insurance risk,Versicherungsrisiko,"Risiko, das aufgrund eines Versicherungsvertrags übertragen wird.",Das Versicherungsrisiko entsteht aus der Unsicherheit über die versicherten Ereignisse.
I,Insurance swaps,Versicherungs-Swaps,"Finanzielle Vereinbarungen, bei denen die Parteien versicherungsbezogene Zahlungsströme oder Risiken austauschen.","Das Unternehmen nutzte Versicherungs-Swaps, um einen Teil des übernommenen Zeichnungsrisikos auf eine andere Vertragspartei zu übertragen."
I,Insured event,Versichertes Ereignis,"Ein Ereignis, das von einem Versicherungsvertrag abgedeckt ist.",Verluste aus dem versicherten Ereignis werden vom Versicherer gedeckt.
I,Insurer,Versicherer,"Partei, die einen Versicherungsvertrag abschließt.",Der Versicherer trägt das Risiko aus dem Vertrag.
I,Intangible asset,Immaterieller Vermögenswert,"Ein identifizierbarer, nicht monetärer Vermögenswert ohne physische Substanz.",Das Patent wird als immaterieller Vermögenswert angesetzt.
I,Intangible Assets,Immaterielle Vermögenswerte,"Identifizierbare, nicht monetäre Vermögenswerte ohne physische Substanz, wie z. B. Patente und Lizenzen.",Das erworbene Patent wurde als immaterieller Vermögenswert angesetzt und über zehn Jahre planmäßig abgeschrieben.
I,Intangible Assets – Web Site Costs,Immaterielle Vermögenswerte – Kosten von Websites,"Leitlinien dazu, wann Kosten der Entwicklung einer Website aktiviert werden dürfen.","Immaterielle Vermögenswerte – Kosten von Websites klären, welche Aufwendungen aktivierungsfähig sind."
I,Integral foreign operation,Integrierte ausländische Geschäftstätigkeit,"Eine ausländische Geschäftstätigkeit, die eine Erweiterung der Tätigkeiten des berichterstattenden Unternehmens darstellt.",Die ausländische Niederlassung wird als integrierte ausländische Geschäftstätigkeit behandelt.
I,Interest,Zinsen,Die Kosten der Nutzung geliehenen Geldes.,Zinsaufwendungen werden nach der Effektivzinsmethode erfasst.
I,Interest cost (for an employee benefit plan),Zinskosten (bei einem Plan für Mitarbeiterleistungen),Die Erhöhung der Leistungsverpflichtung infolge des Zeitablaufs.,Die Zinskosten spiegeln die Auflösung des Abzinsungseffekts wider.
I,Interest rate implicit in a lease,"Zinssatz, der im Leasingvertrag implizit enthalten ist","Der Abzinsungssatz, bei dem der Barwert der Leasingzahlungen zuzüglich des nicht garantierten Restwerts dem beizulegenden Zeitwert des Leasingguts entspricht.","Der Leasingnehmer verwendete den im Leasingvertrag implizit enthaltenen Zinssatz, um die Leasingverbindlichkeit zu bewerten."
I,Interest rate implicit in the lease,"Zinssatz, der im Leasingvertrag implizit enthalten ist","Der Zinssatz, mit dem die Leasingzahlungen auf den Wert des Vermögenswerts abgezinst werden.",Der implizit im Leasingvertrag enthaltene Zinssatz diskontiert die Leasingzahlungen.
I,Interest rate risk,Zinsänderungsrisiko,"Das Risiko, dass sich Zinsänderungen auf die finanzielle Lage auswirken.",Variabel verzinsliche Verbindlichkeiten setzen das Unternehmen dem Zinsänderungsrisiko aus.
I,Interest rate strip,Zinsstrip (Zins-Collar),"Ein Sicherungsinstrument, das eine Zinsobergrenze (Cap) und eine Zinsuntergrenze (Floor) kombiniert.",Der Zinsstrip begrenzte das Risiko aus Zinsbewegungen.
I,Interest rate swap,Zinsswap (Zinssatztausch),"Ein Derivat, bei dem zwei Parteien Zinszahlungsströme austauschen, typischerweise fest gegen variabel.","Das Unternehmen schloss einen Zinsswap ab, um seine variabel verzinslichen Schulden abzusichern."
I,Interest-only strip,Nur-Zins-Strip,Ein Recht auf den Erhalt ausschließlich der Zinszahlungsströme aus einem übertragenen Vermögenswert.,Der einbehaltene Nur-Zins-Strip wird zum beizulegenden Zeitwert bewertet.
I,Interest-only strip receivable,Zinsstrip-Forderung (Forderung aus einem Nur-Zins-Strip),Ein Recht auf den Erhalt ausschließlich der Zinszahlungsströme aus einem Finanzvermögenswert.,Das Unternehmen behielt bei der Verbriefung eine Forderung aus einem Nur-Zins-Strip zurück.
I,Interests in Joint Ventures,Anteile an Joint Ventures (Gemeinschaftsunternehmen),Die Beteiligungen eines Unternehmens an Joint Ventures.,Anteile an Joint Ventures werden nach der Equity-Methode bilanziert.
I,Interim financial report,Zwischenbericht,Ein Bericht für einen kürzeren Zeitraum als ein volles Jahr.,Ein Zwischenbericht deckt einen Sechs-Monats-Zeitraum ab.
I,Interim Financial Reporting,Zwischenberichterstattung (IAS 34),"Der Standard, der den Mindestinhalt eines Zwischenberichts sowie die Ansatz- und Bewertungsgrundsätze für Zwischenperioden vorschreibt.",Die Zwischenberichterstattung verlangt von Unternehmen die Vorlage eines zusammengefassten Abschlusses.
I,Interim financial reporting and impairment,Zwischenberichterstattung und Wertminderung,Wertminderungserwägungen in der Zwischenberichterstattung.,Zwischenberichterstattung und Wertminderung wenden dieselben Grundsätze an wie die Jahresberichterstattung.
I,Interim financial statements,Zwischenabschluss,Abschlüsse für einen kürzeren Zeitraum als ein volles Geschäftsjahr.,Das Unternehmen veröffentlichte den Zwischenabschluss für das Halbjahr.
I,Interim period,Zwischenperiode / Zwischenzeitraum,"Eine Berichtsperiode, die kürzer als ein volles Geschäftsjahr ist.",Die Zwischenperiode umfasste die ersten sechs Monate.
I,Intermediate or ultimate parent entity,Übergeordnetes oder oberstes Mutterunternehmen,"Ein Mutterunternehmen, das selbst ein Tochterunternehmen eines anderen Mutterunternehmens ist oder an der Spitze der Gruppe steht.",Das übergeordnete oder oberste Mutterunternehmen muss ebenfalls einen Konzernabschluss aufstellen.
I,Internal rate of return,Interner Zinsfuß / interner Ertragssatz,"Der Abzinsungssatz, bei dem der Kapitalwert null beträgt.",Der interne Zinsfuß bestimmt den Effektivzinssatz.
I,Internal risk transfer,Interne Risikoübertragung,Übertragung von Risiken zwischen Geschäftsbereichen desselben Unternehmens.,Interne Risikoübertragungen werden im Zuge der Konsolidierung eliminiert.
I,Internally generated,intern erstellt / im Unternehmen selbst erstellt,Im Unternehmen selbst entstanden statt erworben.,Intern erstellte Marken werden nicht als immaterielle Vermögenswerte angesetzt.
I,Internally generated goodwill,Selbst erstellter Firmenwert,"Im Unternehmen selbst geschaffener Firmenwert, der nicht angesetzt wird.",Selbst erstellter Firmenwert wird nicht als Vermögenswert angesetzt.
I,International Accounting Standard,International Accounting Standard (IAS),"Ein Standard, der vom Vorgänger des International Accounting Standards Board herausgegeben wurde und Bilanzierungsregelungen für bestimmte Geschäftsvorfälle vorschreibt.",International Accounting Standard 2 behandelt die Bewertung der Vorräte.
I,International Accounting Standards Committee,International Accounting Standards Committee (IASC),Das Vorgängergremium des IASB.,Das IASC gab die ursprünglichen International Accounting Standards heraus.
I,International Accounting Standards Committee Foundation,IASC Foundation (Stiftung des International Accounting Standards Committee),"Gremium, das das IASC bzw. das IASB beaufsichtigt.",Die IASC Foundation ernannte neue Treuhänder.
I,International Federation Of Accountants,International Federation of Accountants (IFAC),"Die weltweite Organisation, die den Berufsstand der Wirtschaftsprüfer vertritt.",Die IFAC gibt Standards zu Ethik und Abschlussprüfung heraus.
I,International Financial Reporting Interpretations Committee,International Financial Reporting Interpretations Committee (IFRIC),"Das Gremium, das Interpretationen zur Anwendung der IFRS auf spezielle Fragestellungen herausgegeben hat.",Das IFRIC gab Leitlinien zur Bilanzierung heraus.
I,International Financial Reporting Standard,International Financial Reporting Standard (IFRS),Vom IASB für die weltweite Finanzberichterstattung herausgegebene Standards.,Jeder International Financial Reporting Standard legt spezifische Anforderungen fest.
I,Intragroup,konzernintern / gruppintern,Zwischen Unternehmen derselben Gruppe stattfindend.,Konzerninterne Salden werden im Konzernabschluss eliminiert.
I,Intragroup payment arrangement,Konzerninterne Zahlungsvereinbarung,Eine Vereinbarung über Zahlungen innerhalb einer Unternehmensgruppe.,Die konzerninterne Zahlungsvereinbarung wird im Zuge der Konsolidierung eliminiert.
I,Intragroup transaction,Konzerninternes Geschäft / konzerninterne Transaktion,Geschäftsvorfälle zwischen Unternehmen derselben Gruppe.,Konzerninterne Geschäftsvorfälle werden im Zuge der Konsolidierung eliminiert.
I,Intrinsic value,Innerer Wert,"Die Differenz zwischen dem beizulegenden Zeitwert einer Aktie und dem Ausübungspreis einer Option, also der Betrag, der bei sofortiger Ausübung erzielt würde.","Der innere Wert der Aktienoption wird als der Betrag bemessen, um den der Aktienkurs den Ausübungspreis übersteigt."
I,Introduction of the Euro,Einführung des Euro,Die Einführung der Währung Euro.,Die Einführung des Euro beeinflusste die Währungsumrechnung.
I,Inventories,Vorräte,"Vermögenswerte, die zum Verkauf oder für die Produktion gehalten werden.",Vorräte werden mit dem niedrigeren Betrag aus Anschaffungs- oder Herstellungskosten und Nettoverkaufserlös bewertet.
I,Inverse floating interest rate,Umgekehrt variabler Zinssatz (inverser Floater),"Ein Zinssatz, der sich entgegengesetzt zum Referenzzinssatz entwickelt.","Die Anleihe zahlt einen umgekehrt variablen Zinssatz, wenn die Zinsen fallen."
I,Investee,"Beteiligungsgesellschaft / Gesellschaft, an der investiert wird","Ein Unternehmen, an dem ein anderes Unternehmen eine Beteiligung hält.",Der Investor übt maßgeblichen Einfluss auf die Beteiligungsgesellschaft aus.
I,Investing activities,Investitionstätigkeit,Zahlungsströme aus dem Erwerb und der Veräußerung langfristiger Vermögenswerte.,Zur Investitionstätigkeit gehören der Erwerb von Grundstücken und Ausrüstungen.
I,Investment,Investition / Kapitalanlage,"Ein Vermögenswert, der gehalten wird, um durch Erträge oder Wertsteigerung Vermögen zu mehren.",Das Unternehmen tätigte eine langfristige Investition in ein Tochterunternehmen.
I,Investment contract,Kapitalanlagevertrag / Investitionsvertrag,"Ein Vertrag, der eine Rendite auf Grundlage einer Kapitalanlage vorsieht.",Kapitalanlageverträge werden bei Vertragsabschluss zum beizulegenden Zeitwert bewertet.
I,Investment enterprise,Investmentunternehmen / Kapitalanlagegesellschaft,"Ein Unternehmen, dessen Geschäftstätigkeit im Tätigen von Kapitalanlagen besteht.",Ein Investmentunternehmen bewertet seine Kapitalanlagen zum beizulegenden Zeitwert.
I,Investment entity,Investmentunternehmen (Investment Entity),"Ein Unternehmen, das Mittel von Investoren einzieht, um ihnen Anlageverwaltungsdienstleistungen zu erbringen, und seine Investitionen zum beizulegenden Zeitwert mit Erfolgswirkung in der Gewinn- und Verlustrechnung bewertet.","Ein Investmentunternehmen konsolidiert seine beherrschten Beteiligungsgesellschaften nicht, sondern bewertet sie zum beizulegenden Zeitwert."
I,Investment grade,Investment-Grade-Rating / anlagefähige Bonität,"Eine Bonitätseinstufung, die ein geringes Ausfallrisiko anzeigt.",Die Anleihen haben ein Investment-Grade-Rating.
I,Investment performance,Anlageerfolg / Anlageperformance,Die in einer Periode mit einer Kapitalanlage erzielte Rendite.,Der Anlageerfolg wird den Versicherungsnehmern jährlich berichtet.
I,Investment property,Als Finanzinvestition gehaltene Immobilien,"Eine Immobilie, die gehalten wird, um Mieteinnahmen zu erzielen oder von Wertsteigerungen zu profitieren.",Das Bürogebäude ist eine als Finanzinvestition gehaltene Immobilie.
I,Investment retained,Einbehaltene Beteiligung,"Die Beteiligung an einem früheren Tochterunternehmen, die das Mutterunternehmen nach dem Verlust der Beherrschung weiterhin hält.",Die einbehaltene Beteiligung wurde bei Verlust der Beherrschung mit dem beizulegenden Zeitwert neu bewertet.
I,Investment securities,Als Kapitalanlage gehaltene Wertpapiere,"Finanzvermögenswerte, die zur Erzielung von Erträgen und nicht zu Handelszwecken gehalten werden.",Als Kapitalanlage gehaltene Wertpapiere werden nach ihren vertraglichen Zahlungsströmen klassifiziert.
I,Investment tax credits,Investitionszuschüsse / steuerliche Investitionsanreize,"Steuerliche Anreize, die zur Förderung von Kapitalinvestitionen gewährt werden.",Investitionsgutschriften senkten den Steueraufwand des Unternehmens.
I,Investment-linked insurance funds,Fondsgebundene Versicherungsfonds,"Versicherungsfonds, deren Wert an Kapitalanlagen gekoppelt ist.",In fondsgebundenen Versicherungsfonds gehaltene Vermögenswerte werden zum beizulegenden Zeitwert bewertet.
I,Investments in Associates,Anteile an assoziierten Unternehmen (IAS 28),Der Standard zur Bilanzierung von Anteilen an assoziierten Unternehmen.,Anteile an assoziierten Unternehmen werden nach der Equity-Methode bilanziert.
I,Investor,Investor / Anleger,"Eine Partei, die eine Beteiligung an einem anderen Unternehmen hält, z. B. durch Aktien, und Anspruch auf Erträge aus dieser Beteiligung hat.","Der Investor beurteilte, ob er maßgeblichen Einfluss auf das assoziierte Unternehmen ausübt."
I,Investor in a joint venture,Investor in einem Joint Venture,Eine Partei mit einer Beteiligung an einem Joint Venture.,Der Investor in einem Joint Venture wendet die Equity-Methode an.
I,Investor-owned entity,Von Investoren gehaltenes Unternehmen,"Ein Unternehmen, das von Investoren und nicht von Versicherungsnehmern gehalten wird.",Von Investoren gehaltene Unternehmen weisen Gewinne für die Aktionäre aus.
I,Involuntary liquidation,Zwangsliquidation,Die auf Anordnung eines Gerichts oder einer Aufsichtsbehörde erfolgende Abwicklung eines Unternehmens.,Die Bank sah sich nach dem Zusammenbruch mit einer Zwangsliquidation konfrontiert.
I,Irrevocable commitments,Unwiderrufliche Zusagen / Verpflichtungen,"Verbindliche Verpflichtungen, die das Unternehmen nicht storniert oder zurücknehmen kann.",Unwiderrufliche Zusagen zum Erwerb von Rohstoffen wurden im Anhang offengelegt.
I,Issued capital,Ausgegebenes Kapital (Grundkapital),"Der Betrag des Grundkapitals, der tatsächlich an die Aktionäre ausgegeben wurde.",Das ausgegebene Kapital wird getrennt von der Kapitalreserve (Agio) ausgewiesen.
I,Issued shares,Ausgegebene Aktien,"Aktien, die den Aktionären zugeordnet wurden und auf die diese eingezahlt haben.",Ausgegebene Aktien werden mit ihrem Nennwert erfasst.
I,Issuing entity,Ausgebendes Unternehmen (Emissionsunternehmen),"Das Unternehmen, das Eigenkapitalinstrumente an die Inhaber ausgibt.",Das Emissionsunternehmen erfasste die Vorzugsaktien als Eigenkapital.
I,Item,Posten / Position,Ein einzelnes Element des Jahresabschlusses.,"Jeder Posten wird als Vermögenswert, Schuld, Ertrag oder Aufwand klassifiziert."
I,Item by item basis,Einzelpostenweise (je Posten),"Ein Ansatz, bei dem jeder einzelne Posten gesondert statt in aggregierter Form betrachtet wird.",Das Unternehmen beurteilte seine Finanzvermögenswerte einzelpostenweise auf Wertminderung.
I,Item of inventory,Vorratsposten,Eine einzelne Einheit oder Kategorie der Vorräte.,Jeder Vorratsposten wird mit dem niedrigeren Betrag aus Anschaffungs- oder Herstellungskosten und Nettoverkaufserlös bewertet.
J-L,Joint control,Gemeinsame Kontrolle,"Vertraglich vereinbarte, geteilte Kontrolle über eine Vereinbarung.",Die beiden Parteien üben die gemeinsame Kontrolle über das Gemeinschaftsunternehmen aus.
J-L,Joint venture,Gemeinschaftsunternehmen / Joint Venture,"Eine gemeinsame Vereinbarung, bei der die Parteien die Kontrolle teilen und Rechte am Nettovermögen haben.",Die beiden Unternehmen gründeten für das Projekt ein Gemeinschaftsunternehmen.
